No,Test,lprice,SDC PRICE,CELLPRICE,STERLING,INVITRO,UNIPRICE,Sample,,
369,STOOL R&M,150,,,,,,STOOL,,
370,Stool RM 3 Days,450,,,,,,STOOL1;STOOL2;STOOL3,,
371,Stool RM 5 Days,450,,,,,,STOOL1;STOOL2;STOOL3,,
372,Sucrose Lysis (for PNH),600,,,,,,WBEDTA,,
373,SUGAR FBS AND PPBS,80,,,,,,FBSFL;URINE;PPBSFL;PPUS,,
374,SYNOVIAL FLUID EXAMINATION,500,,,,,,SYNOVIALFLUID,,
375,T3,250,,,,,,SERUM,,
376,T3 T4 TSH,600,,,,,,SERUM,,
377,T4,250,,,,,,SERUM,,
378,Tacrolimus Level,3500,,,,,,EDTA;HEPARIN,,
379,TB GOLD GAMMA INTERFERON,2800,,,,,,LITHIUM HEPARIN,,
380,TB PCR,2000,,,,,,ASK SUPIRIOR,,
381,TC DC,200,,,,,,WBEDTA,,
382,TESTOSTERONE LEVEL,500,,,,,,SERUM,,
383,THROAT SWAB,250,,,,,,SWAB,,
384,TIBC,400,,,,,,SERUM,,
385,TMT,1200,,,,,,,,
386,TORCH COMPLEX 10 PARAMETER,2200,,,,,,SERUM,,
387,TORCH COMPLEX 8 PARAMETER,1800,,,,,,SERUM,,
388,Toxoplasma IgG,350,,,,,,SERUM,,
389,Toxoplasma IgM,350,,,,,,SERUM,,
390,TPAB (Total Syphilis Ab),1000,,,,,,SERUM,,
391,TPHA,450,,,,,,SERUM,,
392,Triglycerides,200,,,,,,SERUM,,
393,Triple Marker (15 to 21 Weeks),2500,,,,,,SERUM,,
394,TROPONIN T,1000,,,,,,WBEDTA,,
395,TROPONIN-I,750,,,,,,SERUM,,
396,TSH,250,,,,,,SERUM,,
397,tTG IgA,800,,,,,,SERUM,,
398,tTG IgG,800,,,,,,SERUM,,
399,TUBERCULIN TEST,150,,,,,,,,
400,TYPHI DOT IgM/IgG,500,,,,,,SERUM,,
401,UPT,200,,,,,,URINE,,
402,UREA,200,,,,,,SERUM,,
403,URIC ACID,200,,,,,,SERUM,,
404,URINE ABL/CREAT RATIO(Spot),700,,,,,,URINE,,
405,URINE AFB,200,,,,,,URINE,,
406,Urine Bense Jones Protein,300,,,,,,URINE,,
407,URINE BSBP,50,,,,,,URINE,,
408,Urine Cloride,250,,,,,,URINE,,
409,Urine Potassium,250,,,,,,URINE,,
410,Urine Screen for Amphetamine,800,,,,,,URINE,,
411,Urine Screen for Cannabinoids,800,,,,,,URINE,,
412,Urine Screen for Opiates,800,,,,,,URINE,,
413,Urine Sodium,250,,,,,,URINE,,
414,USG ABDOMEN,1200,,,,,,USG,,
415,VALPROIC ACID,650,,,,,,SERUM,,
416,Varicella Zoster Vaccination T,1500,,,,,,SERUM,,
417,varicella-zoster virus IgG,1000,,,,,,SERUM,,
418,varicella-zoster virus IgM,1000,,,,,,SERUM,,
419,VDRL/RPR,300,,,,,,SERUM,,
420,Viral Load HCV,5000,,,,,,WBEDTA;SERUM,,
421,VISIT,100,,,,,,,,
422,VISIT,20,,,,,,,,
423,VISIT,30,,,,,,,,
424,VISIT,40,,,,,,,,
425,VISIT,60,,,,,,,,
426,VISIT,50,,,,,,,,
427,VISTI ECG MER,150,,,,,,,,
428,Weil–Felix test,1500,,,,,,SERUM,,
429,Widal,200,,,,,,SERUM,,
430,X RAY CHEST,500,,,,,,XRAY,,
431,X RAY general,500,,,,,,XRAY,,
432,xDengue NS1Agb Rapid,700,,,,,,SERUM,,
433,xDENGUE Rapid,1500,,,,,,SERUM,,
